specimen;total_thickness;tape_thickness;loading_step;strain;crack_density
S_200_95_7;200;95;2800;0,012542837;0,227272727
S_200_95_7;200;95;2950;0,013184436;0,227272727
S_200_95_7;200;95;3100;0,013756683;0,243506494
S_200_95_7;200;95;3250;0,014418749;0,25974026
S_200_95_7;200;95;???;0,015007414;0,25974026
S_200_95_8;200;95;100;0;0
S_200_95_8;200;95;350;-0,002265696;0
S_200_95_8;200;95;600;0,000554066;0
S_200_95_8;200;95;850;0,000757272;0
S_200_95_8;200;95;1100;0,001352374;0
S_200_95_8;200;95;1300;0,001699008;0
S_200_95_8;200;95;1500;0,003317349;0
S_200_95_8;200;95;1700;0,005047499;0
S_200_95_8;200;95;1900;0,006673906;0
S_200_95_8;200;95;2050;0,007545087;0
S_200_95_8;200;95;2200;0,008436731;0
S_200_95_8;200;95;2350;0,009542198;0,049019608
S_200_95_8;200;95;2500;0,010347476;0,081699346
S_200_95_8;200;95;2650;0,011343371;0,130718954
S_200_95_8;200;95;2800;0,012347588;0,22875817
S_200_95_8;200;95;2950;0,013226669;0,261437908
S_200_95_8;200;95;3100;0,014262838;0,261437908
S_200_95_8;200;95;3250;0,015530939;0,294117647
S_200_95_8;200;95;???;0,016430001;0,294117647
S_200_95_8;200;95;???;0,017436673;0,294117647
S_200_95_9;200;95;100;0,000878;0
S_200_95_9;200;95;350;0,001756;0
S_200_95_9;200;95;600;0,002634;0
S_200_95_9;200;95;850;0,003512;0
S_200_95_9;200;95;1100;0,00439;0
S_200_95_9;200;95;1300;0,005268;0
S_200_95_9;200;95;1500;0,006146;0,048701299
S_200_95_9;200;95;1700;0,007024;0,064935065
S_200_95_9;200;95;1900;0,007902;0,081168831
S_200_95_9;200;95;2050;0,00878;0,081168831
S_200_95_9;200;95;2200;0,009658;0,146103896
S_200_95_9;200;95;2350;0,010536;0,178571429
S_200_95_9;200;95;2500;0,011414;0,227272727
S_200_95_9;200;95;2650;0,012292;0,275974026
S_200_95_9;200;95;2800;0,01317;0,308441558
S_200_95_9;200;95;2950;0,014048;0,308441558
S_200_95_9;200;95;3100;0,014926;0,308441558
S_200_95_9;200;95;3250;0,015804;0,340909091
S_200_95_9;200;95;???;0,016682;0,340909091
S_200_95_9;200;95;???;0,01756;0,357142857
S_200_65_7;200;65;100;0,001311263;0
S_200_65_7;200;65;350;0,001753175;0
S_200_65_7;200;65;600;0,002788069;0
S_200_65_7;200;65;850;0,002875458;0
S_200_65_7;200;65;1100;0,004001279;0
S_200_65_7;200;65;1350;0,004828234;0
S_200_65_7;200;65;1600;0,005606372;0
S_200_65_7;200;65;1800;0,004400849;0
S_200_65_7;200;65;2000;0,006780704;0
S_200_65_7;200;65;2200;0,007508395;0
S_200_65_7;200;65;2400;0,008499712;0
S_200_65_7;200;65;2600;0,009166087;0
S_200_65_7;200;65;2800;0,009488499;0
S_200_65_8;200;65;100;0,001141233;0
S_200_65_8;200;65;350;0,002711023;0
S_200_65_8;200;65;600;0,003919893;0
S_200_65_8;200;65;850;0,004868259;0
S_200_65_8;200;65;1100;0,005781843;0
S_200_65_8;200;65;1350;0,005784547;0
S_200_65_8;200;65;1600;0,006504091;0
S_200_65_8;200;65;1800;0,007957718;0
S_200_65_8;200;65;2000;0,008196452;0
S_200_65_8;200;65;2200;0,009676085;0
S_200_65_8;200;65;2400;0,009609317;0
S_200_65_8;200;65;2600;0,011060384;0
S_200_65_8;200;65;2800;0,011630466;0,016233766
S_200_65_8;200;65;3000;0,01284052;0,016233766
S_200_65_8;200;65;2650;0,013902046;0,016233766
S_200_65_8;200;65;2750;0,015526675;0,016233766
S_200_65_8;200;65;2850;0,016252747;0,016233766
S_200_65_8;200;65;???;0,016936132;0,016233766
S_200_65_8;200;65;???;0,018679854;0,016233766
S_200_65_8;200;65;???;0,017702268;0,032467532
S_200_65_8;200;65;???;0,017948999;0,032467532
S_200_65_8;200;65;???;0,019360276;0,048701299
S_200_65_8;200;65;???;0,01931195;0,048701299
S_200_65_8;200;65;???;0,020066967;0,097402597
S_200_65_8;200;65;???;0,020817351;0,12987013
S_200_65_9;200;65;100;0;0
S_200_65_9;200;65;350;-0,00017872;0
S_200_65_9;200;65;600;-0,000316278;0
S_200_65_9;200;65;850;0,000248517;0
S_200_65_9;200;65;1100;0,001192948;0
S_200_65_9;200;65;1350;0,00311783;0
S_200_65_9;200;65;1600;0,004446901;0
S_200_65_9;200;65;1800;0,005596649;0
S_200_65_9;200;65;2000;0,006901996;0
S_200_65_9;200;65;2200;0,00828575;0
S_200_65_9;200;65;2400;0,01119603;0
S_200_65_9;200;65;2600;0,012961075;0
S_200_65_9;200;65;2800;0,014747989;0
S_200_65_9;200;65;3000;0,016953127;0
S_200_65_9;200;65;2650;0,019624731;0
S_200_65_9;200;65;2750;0,021158347;0
S_140_140_6;140;140;100;0,000439855;0
S_140_140_6;140;140;350;0,002081948;0
S_140_140_6;140;140;600;0,002298754;0
S_140_140_6;140;140;850;0,003259634;0
S_140_140_6;140;140;1100;0,004439172;0,017850768
S_140_140_6;140;140;1300;0,005348186;0,035701535
S_140_140_6;140;140;1500;0,006098158;0,089253838
S_140_140_6;140;140;1650;0,007528078;0,107104605
S_140_140_6;140;140;1800;0,007940062;0,107104605
S_140_140_6;140;140;1950;0,008367109;0,107104605
S_140_140_6;140;140;2100;0,009411605;0,142806141
S_140_140_6;140;140;2250;0,009589924;0,160656908
S_140_140_6;140;140;2400;0,010868772;0,178507676
S_140_140_6;140;140;2550;0,011814512;0,214209211
S_140_140_6;140;140;2650;0,013053307;0,214209211
S_140_140_6;140;140;2750;0,013318539;0,249910746
S_140_140_6;140;140;2850;0,013821829;0,249910746
S_140_140_6;140;140;2950;0,014555413;0,267761514
S_140_140_6;140;140;3050;0,01529909;0,267761514
S_140_140_7;140;140;100;0;0
S_140_140_7;140;140;350;0,00148716;0
S_140_140_7;140;140;600;0,002834;0
S_140_140_7;140;140;850;0,003762234;0
S_140_140_7;140;140;1100;0,004707903;0
S_140_140_7;140;140;1300;0,005620395;0
S_140_140_7;140;140;1500;0,006451508;0
S_140_140_7;140;140;1650;0,007217943;0,016233766
